图像名称,图像概念,图像叙事,类别,距离,图像情感类别,检查,概念
061136.jpg,复合肥；硫基,"【供应山东划算的硫基复合肥,促销硫基复合肥】价格",0,3,0,,1.0
061138.jpg,核酸；检测,"""国家队""详解目前乌市新冠肺炎患者救治工作",5,1,0,,1.0
061139.jpg,地图；帝国；查理曼,"法德两国互相仇视,70年内大战三次,不到20年深度和解",14,1,0,1.0,1.0
061142.jpg,端午节; 龙头; 盘龙; 中国龙; 龙,端午赛龙舟八大胜地,14,1,0,,1.0
061143.jpg,FIFA;  奖杯；分组,这球还要踢吗?ai已经算出了今年世界杯冠军!,3,1,0,,1.0
061144.jpg,荷塘; 荷花池; 莲花塘; 中国莲; 荷花,池塘长满了荷花,10,1,0,,1.0
061145.jpg,无花果干; 无花果; 篮子,"在青岛吃了二十多年无花果,万万没想到它的后台这么硬",7,1,0,,1.0
061146.jpg,玫瑰花；演讲；月季花,"传统能源如何向智慧能源,可再生能源,清洁能源转变?",6,1,0,,1.0
061150.jpg,猪； 猪嘴； 小猪； 猪肉； 畜牧业,2头猪在草地上,10,1,0,,1.0
061152.jpg,雍正；皇帝；书房,"更关键的是,十七阿哥求见,雍正皇帝为何要先看看时间?",14,1,0,,1.0
061153.jpg,安全帽； 建筑工地； 工地； 建筑工人；,紧抓安全生产滨海下营坚决贯彻落实上级安全生产工作部署,5,3,0,1.0,1.0
061154.jpg,螺线；三星,新机来了##三星watch,6,1,0,,1.0
061157.jpg,心电图机；  超声波；  扫描显微镜,"孕期四维照片vs宝宝刚出生时像不像?想看""宫内戏""戳这里!",8,1,0,1.0,1.0
061158.jpg,豆奶；京东；帐单,京东伊利豆奶山东好价,2,1,0,1.0,1.0
061159.jpg,倒车雷达； 液晶中控大屏； 开关面板； 中控大屏；,开关面板,6,1,0,,1.0
061160.jpg,行军；  军队； 军装,清朝官员在骑马,14,3,0,,1.0
061162.jpg,文字logo； 金属质感； 爱心； 刻字； 心型,我们既为幸运的留言者设计了他们的签名头像,15,1,0,1.0,1.0
061163.jpg,六一散；药品,包邮 鼎炉 六一散 9g*20袋/盒 清暑利湿 外用治疗痱子,8,1,0,,1.0
061165.jpg,收据； 发票； 票据； 票； 包裹,"由于网购物品有玻璃部件和店家协定,收货时要求先开箱验货再签收.",15,1,0,1.0,1.0
